완료,기능 ID,기능명,비고,속성,설명,예정 담당자,현재 담당자,우선순위,카테고리
No,PRO-005,핫딜 오픈/종료 자동화,,관리자,설정 시간 기준 자동 진행,홍태훈,,중,쿠폰 / 핫딜 관리
No,PRO-006,핫딜 상태 관리,,관리자,대기 / 진행 중 / 종료 상태 관리,홍태훈,,중,쿠폰 / 핫딜 관리
No,ACC-003,발주 대금 지급 관리,,관리자,입고 완료된 발주 건에 대해 지급할 대금 지급 처리,홍태훈,,중,회계/판매처 관리
No,ACC-004,거래 완료(정산) 처리,,관리자,"대금 지급 완료 시 해당 발주 건을
최종 거래 완료로 마감(트랜잭션)",홍태훈,,중,회계/판매처 관리
No,ACC-005,회계 종합 통계,,관리자,"총 지급 대금, 쇼핑몰 순수익,
누적 정산액 등 통계 확인",홍태훈,,중,"통계, 회계/판매처 관리"
No,ACC-001,판매처 목록 조회,,관리자,"등록된 판매처 목록 및
판매처별 상품 리스트 조회",홍태훈,,중,회계/판매처 관리
No,USR-005,회원 주문 내역 조회,,관리자,주문 정보 조회,홍태훈,,중,회원 관리
No,GB-001,진행 중인 공동구매 목록 조회,사용자: 회원/비회원 / 관리자용 목록(GROP-002)과 구분,공동구매,진행 중인 공동구매 목록을 조회한다.,황윤재,,상,공동구매(회원)
No,GB-002,공동구매 상세 조회,사용자: 회원/비회원,공동구매,"현재 참여 인원, 최소·최대 인원, 마감까지 남은 시간, 할인가를 조회한다.",황윤재,,상,공동구매(회원)
No,GB-003,참여 진행도 표시,실시간 갱신(WebSocket/SSE 후보),공동구매,현재 참여 인원/최소 인원/최대 인원을 진행도 바로 표시한다.,황윤재,,중,공동구매(회원)
No,GB-004,공동구매 참여 신청(결제),참여=결제. 점유(occupied_count) 선반영 후 결제,공동구매,진행 중인 공동구매에 참여 신청과 동시에 PG 결제를 진행하고 상태를 참여 중으로 저장한다.,황윤재,,상,공동구매(회원)
No,GB-005,참여 옵션 선택,옵션 1개 필수 선택,공동구매,참여 신청 시 상품 옵션(색상/사이즈 등)을 1개 선택한다.,황윤재,,상,공동구매(회원)
No,GB-006,중복 참여 차단,동일 회원·동일 공구 1회,공동구매,동일 회원이 같은 공동구매에 중복으로 참여하지 못하도록 막는다.,황윤재,,상,공동구매(회원)
No,GB-007,1인 구매 수량 제한,최대 인원 = 옵션별 발주 가능 수량 합,공동구매,공동구매 상품의 1인당 최대 구매 수량을 1개로 제한한다.,황윤재,,중,공동구매(회원)
No,GB-008,참여 후 옵션 변경 차단,변경 시 매진·대기열 후순위·환불지연 불이익은 회원 부담,공동구매,"참여 후 옵션 변경을 막고, 변경을 원하면 참여 취소 후 재참여하도록 한다.",황윤재,,중,공동구매(회원)
No,GB-009,옵션 매진 여부 조회,발주 수량 노출 금지,공동구매,"옵션의 매진 여부만 조회할 수 있게 하고, 옵션별 발주 가능 수량은 비공개한다.",황윤재,,중,공동구매(회원)
No,GB-010,매진 옵션 대기열 등록,,공동구매,매진 상태 옵션은 즉시 참여(결제)를 막고 대기열 등록만 허용한다.,황윤재,,중,공동구매(회원)
No,GB-011,참여 내역·상태 조회,마이페이지 통합 조회(MEM-21)와 연계,공동구매,본인의 공동구매 참여 내역과 상태(참여중/참여확정/참여취소됨/공구무산됨/참여대기중/결제대기)를 조회한다.,황윤재,,상,공동구매(회원)
No,GB-012,참여 취소 (마감 전),마감 직전 취소→승격→결제기한 초과 정합성 붕괴 차단,공동구매,공구 마감 전 참여를 취소하면 결제를 즉시 취소한다. 마감 24시간 전(T_lock)부터는 취소 불가.,황윤재,,상,공동구매(회원)
No,GB-013,공구 주문 취소 (마감 후),"쇼핑몰 CNL 흐름 재사용. 공구 특화: 타 참여자 결제·할인 무영향, 반품 절차 불필요",공동구매,공구 마감 후 배송 시작 전 주문에 한해 주문 취소(PG 취소→환불)를 처리한다.,황윤재,,중,공동구매(회원)
No,GB-014,승격자 결제,결제대기→참여중. 기한 초과 시 자격 소멸,공동구매,대기열에서 승격된 회원이 결제기한 내 결제 페이지에서 직접 결제하고 참여 중으로 전환한다.,황윤재,,상,공동구매(회원)
No,GB-015,구독회원 공구 선공개 조회,구독 회원 전용,공동구매,구독 회원에게 공동구매 물품을 일반 회원보다 일주일 일찍 노출한다.,황윤재,,하,공동구매(회원)
No,GB-016,오픈 예정 공구 조회,공구 진행 페이지와 별도 페이지 필요,공동구매,오픈 예정인 공동구매 물품을 별도 페이지에서 조회한다.,황윤재,,중,공동구매(회원)
No,GB-017,공동구매 상태 관리,상태 머신,공동구매,공동구매 상태를 오픈예정→진행중→마감(확정/무산)/중단됨 단계로 전이·관리한다.,황윤재,,상,공동구매(시스템)
No,GB-018,참여 신청 검증,정원 도달 또는 옵션 매진 시 대기열로,공동구매,"참여 신청 시 마감 경과 여부, 정원(max_count) 미만 여부, 선택 옵션의 발주 가능 수량 잔여를 검증한다.",황윤재,,상,공동구매(시스템)
No,GB-019,옵션 재고 점유/복구,group_buy_option.occupied_count,공동구매,참여·승격 시 옵션 발주 수량을 점유(차감)하고 취소·미결제 시 복구한다.,황윤재,,상,공동구매(시스템)
No,GB-020,대기열 등록,"waiting_queue, 마감 전까지 유효",공동구매,정원 도달 또는 옵션 매진 후 신청을 대기열에 등록하고 선택 옵션 정보를 함께 저장한다.,황윤재,,상,공동구매(시스템)
No,GB-021,대기열 FIFO 승격,"NFR-002 공정성, 옵션별 FIFO(등록시각 기준)",공동구매,빈 자리 발생 시 동일 옵션의 가장 먼저 신청한 대기자를 정규 참여자로 승격한다.,황윤재,,상,공동구매(시스템)
No,GB-022,결제대기 자리 hold,"점유엔 포함, 결제 건수엔 제외",공동구매,승격된 결제대기 회원이 정원·옵션 수량을 점유하되 확정 인원(min_count 판정) 집계에서는 제외한다.,황윤재,,상,공동구매(시스템)
No,GB-023,승격자 결제기한 산정·만료 처리,"불변조건 T_lock>=T_pay, 이중 안전장치. 만료자 대기열 재등록 안 함",공동구매,"결제기한을 min(승격시각+T_pay, 공구 마감시각)으로 정하고, 만료 시 자리·재고를 반납하고 다음 대기자에게 승격을 승계한다.",황윤재,,상,공동구매(시스템)
No,GB-024,공구 쿠폰·핫딜 차단,CK_groupbuy_no_discount 체크 제약,공동구매,공동구매 주문에는 쿠폰·핫딜 할인이 적용되지 않도록 서비스 로직과 DB 체크 제약으로 이중 차단한다.,황윤재,,상,공동구매(시스템)
No,GB-025,마감 자동 처리·확정/무산 판정,GROP-006 종료 자동처리(발주/환불/알림)의 판정 로직,공동구매,"마감시각 도래 시 인원과 무관하게 자동 마감하고, 확정 인원이 최소 인원 이상이면 확정·미만이면 무산으로 판정한다.",황윤재,,상,공동구매(시스템)
No,GB-026,승격 결제 안내 알림,마감 결과 알림(GROP-006)과 시점·대상 구분,공동구매,대기열에서 승격된 회원에게 결제 안내 알림을 발송한다.,황윤재,,중,공동구매(시스템)
No,GB-027,동시성 제어(정원 초과 방지),NFR-001,공동구매,동시 요청이 폭주해도 점유 인원(확정+결제대기)이 최대 인원과 옵션별 발주 수량을 초과하지 않도록 제어한다.,황윤재,,상,공동구매(시스템)
No,GB-028,참여-결제 정합성 보장,NFR-003 확정인원=결제완료건수,공동구매,임의 시점에 확정 인원과 결제 완료 건수가 항상 일치하도록 보장한다.,황윤재,,상,공동구매(시스템)
No,GB-029,취소 멱등성,NFR-004,공동구매,동일한 취소 요청이 중복 발생해도 PG 환불이 한 번만 처리되도록 한다.,황윤재,,상,공동구매(시스템)
No,GB-030,취소→승격→결제 트랜잭션,NFR-005,공동구매,취소·대기자 승격·결제 처리를 단일 트랜잭션 또는 saga 패턴으로 정합성 있게 처리한다.,황윤재,,상,공동구매(시스템)
No,GB-031,결제 이벤트 로깅,NFR-006 관찰가능성,공동구매,"모든 결제 관련 이벤트(결제, 결제 취소)를 로그로 기록해 추후 추적 가능하게 한다.",황윤재,,중,공동구매(시스템)
No,MEM-35,판매처 회원 가입,"등급 항목 제외(등급제 미운영, 멤버십만 운영)",회원,판매처 추가 정보: 사업자등록번호·상호명·대표자명·정산계좌·통신판매업 신고번호·입점일·누적 매출. 물품 등록은 관리자에게 신청.,이찬희,,중,판매처
No,MEM-35-1,판매처 정보 관리,,회원,판매처 정보 변경,-,,없음,판매처
No,MEM-36,판매처 상품 수정 요청,판매처 권한 기반 상품 수정 API,"관리자, 판매자, 회원","판매처는 본인 상품에 대해 가격 변경, 옵션(색상/사이즈) 관리 가능.",-,,하,판매처
No,CART-009,총 금액 계산,사용자: 시스템,"쇼핑몰, 회원",선택한 상품의 가격과 수량을 기준으로 총 금액을 계산한다.,"곽정도, 박지명",,상,장바구니
No,CART-010,품절/판매중지 상품 주문 제한,사용자: 시스템,쇼핑몰,품절 또는 판매중지 상품은 주문 대상에서 제외한다.,이세빈,,상,장바구니
No,ORD-002,배송지 입력,사용자: 회원,"쇼핑몰, 회원",회원이 신규 배송지를 직접 입력한다.,곽정도,,상,주문
No,ORD-003,배송지 선택,사용자: 회원,"쇼핑몰, 회원",회원이 기존에 등록된 배송지를 선택한다.,곽정도,,상,주문
No,ORD-004,기본 배송지 자동 표시,사용자: 시스템,"쇼핑몰, 회원",기본 배송지가 설정되어 있으면 주문서에 자동 표시한다.,곽정도,,중,주문
No,ORD-005,주문 가능 여부 확인,사용자: 시스템,쇼핑몰,판매중 상태이며 재고가 있는 상품만 주문 가능하도록 검증한다.,"곽정도, 박지명, 이세빈",,상,주문
No,DLV-001,배송 정보 등록,사용자: 판매처,쇼핑몰,판매처가 주문 상품의 시스템이 등록해준 값을 사용한다.,-,,없음,배송
No,RTN-004,반품 요청 조회,사용자: 판매처/관리자,관리자,판매처 또는 관리자가 반품 요청 목록을 조회한다.,임주현,,상,반품
No,RTN-005,반품 승인,사용자: 관리자,관리자,관리자가 반품 요청을 승인또는 거절하고 거절 사유를 입력한다.,임주현,,상,반품
No,HOT-001,핫딜 등록,사용자: 관리자,관리자,관리자가 판매중 상품을 핫딜 상품으로 등록한다.,홍태훈,,중,핫딜
No,HOT-002,핫딜 할인 가격 설정,사용자: 관리자,"관리자, 쇼핑몰",기존 가격보다 할인된 가격을 설정한다.,홍태훈,,중,핫딜
No,HOT-004,핫딜 기간 설정,사용자: 관리자,관리자,핫딜 시작일과 종료일을 설정한다.,홍태훈,,중,핫딜
No,HOT-005,핫딜 대상 검증,사용자: 시스템,"관리자, 쇼핑몰",판매중 상품만 핫딜 등록이 가능하도록 검증한다.,홍태훈,,중,핫딜
No,HOT-006,핫딜 자동 종료,사용자: 시스템,"관리자, 쇼핑몰",종료일이 지나면 핫딜 상태를 종료하고 일반 가격으로 노출한다.,"홍태훈, 쇼핑몰",,중,핫딜
No,HOT-007,핫딜 상품 목록 조회,사용자: 회원/비회원,쇼핑몰,사용자가 핫딜 상품 목록을 별도로 조회한다.,쇼핑몰,,중,핫딜
No,HOT-008,핫딜 상품 메인 노출,사용자: 시스템,쇼핑몰,핫딜 상품을 메인 화면 또는 상품 목록 상단에 노출한다.,쇼핑몰,,중,핫딜
No,ANA-001,가격분석 조회,보류 (사용자: 회원/비회원),쇼핑몰,특정 상품 또는 동일 카테고리 상품 간 가격 차이를 조회한다.,이세빈,,하,가격분석
No,ANA-002,평균 거래가 조회,보류 (사용자: 시스템),쇼핑몰,동일 카테고리 상품의 평균 거래가를 제공한다.,이세빈,,하,가격분석
No,ANA-003,최저가/최고가 조회,보류 (사용자: 시스템),쇼핑몰,분석 대상 상품들의 최저가와 최고가를 제공한다.,이세빈,,하,가격분석
No,ANA-004,유사 상품 시세 조회,보류 (사용자: 회원/비회원),쇼핑몰,상품 상세 페이지에서 유사 상품의 시세를 제공한다.,이세빈,,하,가격분석
No,ANA-005,판매처 참고 시세 조회,보류 (사용자: 판매처),쇼핑몰,판매처가 상품 등록 시 참고 시세를 확인한다.,이세빈,,하,가격분석
No,ANA-007,평균가 대비 가격 차이 표시,보류 (사용자: 시스템),쇼핑몰,"현재 상품 가격이 평균가 대비 높음, 낮음을 표시한다.",이세빈,,하,가격분석
No,REV-011,판매처 리뷰 조회,사용자: 판매처,판매자,판매처가 상품관리목록에서 상품상세를 통해 리뷰와 평점을 조회한다.,이세빈,,하,리뷰
No,REV-012,부적절 리뷰 숨김,사용자: 관리자,관리자,관리자가 부적절한 리뷰를 숨김 처리한다.,임주현,,하,리뷰
No,CPN-001,쿠폰 조회,사용자: 회원,회원,사용자가 보유한 쿠폰 목록을 조회한다.,박지명,,중,쿠폰
No,CPN-007,쿠폰 상태 관리,사용자: 시스템,관리자,"사용 가능, 사용 완료, 기간 만료 상태를 관리한다.",홍태훈,,상,쿠폰
No,CPN-008,구독 회원 쿠폰 지급,사용자: 시스템,관리자,구독제 회원에게 특정 기간마다 쿠폰을 지급한다.,홍태훈,,중,쿠폰
No,USR-003,관리자 권한 승격/강등,,관리자,일반 ↔ 관리자 권한 전환,-,,없음,회원 관리
No,USR-004,회원 상세 정보 조회,,관리자,"가입일, 최근 로그인일, 주문 정보 조회",홍태훈,,중,회원 관리
No,CS-001,FAQ 조회 및 관리,,관리자,자주 묻는 질문 목록 관리,임주현,,중,Q&A / 고객 지원
No,CS-002a,1:1 채팅 상담,,관리자,실시간 고객 응대 (채팅),임주현,,중,Q&A / 고객 지원
No,CS-002b,AI 챗봇,,관리자,AI 기반 자동 응대,임주현,,중,Q&A / 고객 지원
No,ACC-002,판매처 상태 관리,,관리자,판매처 상태 운영중/정지 로 변경 가능,-,,하,회계/판매처 관리
